location,latitude,longitude,forecast_issue_time,target_time,forecast_time_hours,start_step_hours,end_step_hours,ensemble_member,forecast_rainfall_mm
Chennai,13.0827,80.2707,2000-09-27,2000-10-02 09:00:00,126,126,129,p04,0.1
Chennai,13.0827,80.2707,2000-09-27,2000-10-02 15:00:00,132,132,135,p04,0.5
Chennai,13.0827,80.2707,2000-09-27,2000-10-02 21:00:00,138,138,141,p04,3.2
Chennai,13.0827,80.2707,2000-09-27,2000-10-03 03:00:00,144,144,147,p04,2.2
Chennai,13.0827,80.2707,2000-09-27,2000-10-03 09:00:00,150,150,153,p04,0.14
Chennai,13.0827,80.2707,2000-09-27,2000-10-03 15:00:00,156,156,159,p04,0.0
Chennai,13.0827,80.2707,2000-09-27,2000-10-03 21:00:00,162,162,165,p04,0.5
Chennai,13.0827,80.2707,2000-09-27,2000-10-04 03:00:00,168,168,171,p04,0.0
Chennai,13.0827,80.2707,2000-09-27,2000-10-04 09:00:00,174,174,177,p04,0.0
Chennai,13.0827,80.2707,2000-09-27,2000-10-04 15:00:00,180,180,183,p04,0.0
Chennai,13.0827,80.2707,2000-09-27,2000-10-04 21:00:00,186,186,189,p04,0.0
Chennai,13.0827,80.2707,2000-09-27,2000-10-05 03:00:00,192,192,195,p04,0.2
Chennai,13.0827,80.2707,2000-09-27,2000-10-05 09:00:00,198,198,201,p04,0.0
Chennai,13.0827,80.2707,2000-09-27,2000-10-05 15:00:00,204,204,207,p04,0.0
Chennai,13.0827,80.2707,2000-09-27,2000-10-05 21:00:00,210,210,213,p04,0.0
Chennai,13.0827,80.2707,2000-09-27,2000-10-06 03:00:00,216,216,219,p04,0.0
Chennai,13.0827,80.2707,2000-09-27,2000-10-06 09:00:00,222,222,225,p04,0.0
Chennai,13.0827,80.2707,2000-09-27,2000-10-06 15:00:00,228,228,231,p04,0.0
Chennai,13.0827,80.2707,2000-09-27,2000-10-06 21:00:00,234,234,237,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-15 03:00:00,0,0,3,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-15 09:00:00,6,6,9,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-15 15:00:00,12,12,15,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-15 21:00:00,18,18,21,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-16 03:00:00,24,24,27,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-16 09:00:00,30,30,33,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-16 15:00:00,36,36,39,c00,0.08
Chennai,13.0827,80.2707,2000-10-15,2000-10-16 21:00:00,42,42,45,c00,1.16
Chennai,13.0827,80.2707,2000-10-15,2000-10-17 03:00:00,48,48,51,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-17 09:00:00,54,54,57,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-17 15:00:00,60,60,63,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-17 21:00:00,66,66,69,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-18 03:00:00,72,72,75,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-18 09:00:00,78,78,81,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-18 15:00:00,84,84,87,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-18 21:00:00,90,90,93,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-19 03:00:00,96,96,99,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-19 09:00:00,102,102,105,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-19 15:00:00,108,108,111,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-19 21:00:00,114,114,117,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-20 03:00:00,120,120,123,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-20 09:00:00,126,126,129,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-20 15:00:00,132,132,135,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-20 21:00:00,138,138,141,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-21 03:00:00,144,144,147,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-21 09:00:00,150,150,153,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-21 15:00:00,156,156,159,c00,0.2
Chennai,13.0827,80.2707,2000-10-15,2000-10-21 21:00:00,162,162,165,c00,0.1
Chennai,13.0827,80.2707,2000-10-15,2000-10-22 03:00:00,168,168,171,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-22 09:00:00,174,174,177,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-22 15:00:00,180,180,183,c00,0.09
Chennai,13.0827,80.2707,2000-10-15,2000-10-22 21:00:00,186,186,189,c00,0.03
Chennai,13.0827,80.2707,2000-10-15,2000-10-23 03:00:00,192,192,195,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-23 09:00:00,198,198,201,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-23 15:00:00,204,204,207,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-23 21:00:00,210,210,213,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-24 03:00:00,216,216,219,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-24 09:00:00,222,222,225,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-24 15:00:00,228,228,231,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-24 21:00:00,234,234,237,c00,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-15 03:00:00,0,0,3,p01,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-15 09:00:00,6,6,9,p01,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-15 15:00:00,12,12,15,p01,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-15 21:00:00,18,18,21,p01,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-16 03:00:00,24,24,27,p01,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-16 09:00:00,30,30,33,p01,2.08
Chennai,13.0827,80.2707,2000-10-15,2000-10-16 15:00:00,36,36,39,p01,0.43
Chennai,13.0827,80.2707,2000-10-15,2000-10-16 21:00:00,42,42,45,p01,4.49
Chennai,13.0827,80.2707,2000-10-15,2000-10-17 03:00:00,48,48,51,p01,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-17 09:00:00,54,54,57,p01,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-17 15:00:00,60,60,63,p01,0.63
Chennai,13.0827,80.2707,2000-10-15,2000-10-17 21:00:00,66,66,69,p01,0.01
Chennai,13.0827,80.2707,2000-10-15,2000-10-18 03:00:00,72,72,75,p01,0.2
Chennai,13.0827,80.2707,2000-10-15,2000-10-18 09:00:00,78,78,81,p01,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-18 15:00:00,84,84,87,p01,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-18 21:00:00,90,90,93,p01,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-19 03:00:00,96,96,99,p01,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-19 09:00:00,102,102,105,p01,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-19 15:00:00,108,108,111,p01,3.8000000000000003
Chennai,13.0827,80.2707,2000-10-15,2000-10-19 21:00:00,114,114,117,p01,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-20 03:00:00,120,120,123,p01,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-20 09:00:00,126,126,129,p01,0.01
Chennai,13.0827,80.2707,2000-10-15,2000-10-20 15:00:00,132,132,135,p01,0.30000000000000004
Chennai,13.0827,80.2707,2000-10-15,2000-10-20 21:00:00,138,138,141,p01,3.3000000000000003
Chennai,13.0827,80.2707,2000-10-15,2000-10-21 03:00:00,144,144,147,p01,0.5
Chennai,13.0827,80.2707,2000-10-15,2000-10-21 09:00:00,150,150,153,p01,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-21 15:00:00,156,156,159,p01,3.8000000000000003
Chennai,13.0827,80.2707,2000-10-15,2000-10-21 21:00:00,162,162,165,p01,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-22 03:00:00,168,168,171,p01,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-22 09:00:00,174,174,177,p01,3.5
Chennai,13.0827,80.2707,2000-10-15,2000-10-22 15:00:00,180,180,183,p01,5.63
Chennai,13.0827,80.2707,2000-10-15,2000-10-22 21:00:00,186,186,189,p01,6.5
Chennai,13.0827,80.2707,2000-10-15,2000-10-23 03:00:00,192,192,195,p01,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-23 09:00:00,198,198,201,p01,0.4
Chennai,13.0827,80.2707,2000-10-15,2000-10-23 15:00:00,204,204,207,p01,0.9
Chennai,13.0827,80.2707,2000-10-15,2000-10-23 21:00:00,210,210,213,p01,0.8
Chennai,13.0827,80.2707,2000-10-15,2000-10-24 03:00:00,216,216,219,p01,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-24 09:00:00,222,222,225,p01,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-24 15:00:00,228,228,231,p01,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-24 21:00:00,234,234,237,p01,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-15 03:00:00,0,0,3,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-15 09:00:00,6,6,9,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-15 15:00:00,12,12,15,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-15 21:00:00,18,18,21,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-16 03:00:00,24,24,27,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-16 09:00:00,30,30,33,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-16 15:00:00,36,36,39,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-16 21:00:00,42,42,45,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-17 03:00:00,48,48,51,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-17 09:00:00,54,54,57,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-17 15:00:00,60,60,63,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-17 21:00:00,66,66,69,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-18 03:00:00,72,72,75,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-18 09:00:00,78,78,81,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-18 15:00:00,84,84,87,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-18 21:00:00,90,90,93,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-19 03:00:00,96,96,99,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-19 09:00:00,102,102,105,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-19 15:00:00,108,108,111,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-19 21:00:00,114,114,117,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-20 03:00:00,120,120,123,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-20 09:00:00,126,126,129,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-20 15:00:00,132,132,135,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-20 21:00:00,138,138,141,p02,0.2
Chennai,13.0827,80.2707,2000-10-15,2000-10-21 03:00:00,144,144,147,p02,0.30000000000000004
Chennai,13.0827,80.2707,2000-10-15,2000-10-21 09:00:00,150,150,153,p02,0.30000000000000004
Chennai,13.0827,80.2707,2000-10-15,2000-10-21 15:00:00,156,156,159,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-21 21:00:00,162,162,165,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-22 03:00:00,168,168,171,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-22 09:00:00,174,174,177,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-22 15:00:00,180,180,183,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-22 21:00:00,186,186,189,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-23 03:00:00,192,192,195,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-23 09:00:00,198,198,201,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-23 15:00:00,204,204,207,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-23 21:00:00,210,210,213,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-24 03:00:00,216,216,219,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-24 09:00:00,222,222,225,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-24 15:00:00,228,228,231,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-24 21:00:00,234,234,237,p02,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-15 03:00:00,0,0,3,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-15 09:00:00,6,6,9,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-15 15:00:00,12,12,15,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-15 21:00:00,18,18,21,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-16 03:00:00,24,24,27,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-16 09:00:00,30,30,33,p03,0.2
Chennai,13.0827,80.2707,2000-10-15,2000-10-16 15:00:00,36,36,39,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-16 21:00:00,42,42,45,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-17 03:00:00,48,48,51,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-17 09:00:00,54,54,57,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-17 15:00:00,60,60,63,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-17 21:00:00,66,66,69,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-18 03:00:00,72,72,75,p03,0.2
Chennai,13.0827,80.2707,2000-10-15,2000-10-18 09:00:00,78,78,81,p03,0.2
Chennai,13.0827,80.2707,2000-10-15,2000-10-18 15:00:00,84,84,87,p03,0.1
Chennai,13.0827,80.2707,2000-10-15,2000-10-18 21:00:00,90,90,93,p03,0.13
Chennai,13.0827,80.2707,2000-10-15,2000-10-19 03:00:00,96,96,99,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-19 09:00:00,102,102,105,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-19 15:00:00,108,108,111,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-19 21:00:00,114,114,117,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-20 03:00:00,120,120,123,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-20 09:00:00,126,126,129,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-20 15:00:00,132,132,135,p03,0.29
Chennai,13.0827,80.2707,2000-10-15,2000-10-20 21:00:00,138,138,141,p03,2.1
Chennai,13.0827,80.2707,2000-10-15,2000-10-21 03:00:00,144,144,147,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-21 09:00:00,150,150,153,p03,0.37
Chennai,13.0827,80.2707,2000-10-15,2000-10-21 15:00:00,156,156,159,p03,3.1
Chennai,13.0827,80.2707,2000-10-15,2000-10-21 21:00:00,162,162,165,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-22 03:00:00,168,168,171,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-22 09:00:00,174,174,177,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-22 15:00:00,180,180,183,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-22 21:00:00,186,186,189,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-23 03:00:00,192,192,195,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-23 09:00:00,198,198,201,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-23 15:00:00,204,204,207,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-23 21:00:00,210,210,213,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-24 03:00:00,216,216,219,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-24 09:00:00,222,222,225,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-24 15:00:00,228,228,231,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-24 21:00:00,234,234,237,p03,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-15 03:00:00,0,0,3,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-15 09:00:00,6,6,9,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-15 15:00:00,12,12,15,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-15 21:00:00,18,18,21,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-16 03:00:00,24,24,27,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-16 09:00:00,30,30,33,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-16 15:00:00,36,36,39,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-16 21:00:00,42,42,45,p04,0.04
Chennai,13.0827,80.2707,2000-10-15,2000-10-17 03:00:00,48,48,51,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-17 09:00:00,54,54,57,p04,0.1
Chennai,13.0827,80.2707,2000-10-15,2000-10-17 15:00:00,60,60,63,p04,0.24
Chennai,13.0827,80.2707,2000-10-15,2000-10-17 21:00:00,66,66,69,p04,0.2
Chennai,13.0827,80.2707,2000-10-15,2000-10-18 03:00:00,72,72,75,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-18 09:00:00,78,78,81,p04,0.14
Chennai,13.0827,80.2707,2000-10-15,2000-10-18 15:00:00,84,84,87,p04,0.21
Chennai,13.0827,80.2707,2000-10-15,2000-10-18 21:00:00,90,90,93,p04,9.8
Chennai,13.0827,80.2707,2000-10-15,2000-10-19 03:00:00,96,96,99,p04,4.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-19 09:00:00,102,102,105,p04,0.2
Chennai,13.0827,80.2707,2000-10-15,2000-10-19 15:00:00,108,108,111,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-19 21:00:00,114,114,117,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-20 03:00:00,120,120,123,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-20 09:00:00,126,126,129,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-20 15:00:00,132,132,135,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-20 21:00:00,138,138,141,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-21 03:00:00,144,144,147,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-21 09:00:00,150,150,153,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-21 15:00:00,156,156,159,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-21 21:00:00,162,162,165,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-22 03:00:00,168,168,171,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-22 09:00:00,174,174,177,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-22 15:00:00,180,180,183,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-22 21:00:00,186,186,189,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-23 03:00:00,192,192,195,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-23 09:00:00,198,198,201,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-23 15:00:00,204,204,207,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-23 21:00:00,210,210,213,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-24 03:00:00,216,216,219,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-24 09:00:00,222,222,225,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-24 15:00:00,228,228,231,p04,0.0
Chennai,13.0827,80.2707,2000-10-15,2000-10-24 21:00:00,234,234,237,p04,0.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-02 03:00:00,0,0,3,c00,5.1000000000000005
Chennai,13.0827,80.2707,2000-11-02,2000-11-02 09:00:00,6,6,9,c00,0.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-02 15:00:00,12,12,15,c00,0.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-02 21:00:00,18,18,21,c00,0.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-03 03:00:00,24,24,27,c00,0.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-03 09:00:00,30,30,33,c00,0.06
Chennai,13.0827,80.2707,2000-11-02,2000-11-03 15:00:00,36,36,39,c00,0.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-03 21:00:00,42,42,45,c00,0.30000000000000004
Chennai,13.0827,80.2707,2000-11-02,2000-11-04 03:00:00,48,48,51,c00,0.1
Chennai,13.0827,80.2707,2000-11-02,2000-11-04 09:00:00,54,54,57,c00,0.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-04 15:00:00,60,60,63,c00,0.8
Chennai,13.0827,80.2707,2000-11-02,2000-11-04 21:00:00,66,66,69,c00,1.5
Chennai,13.0827,80.2707,2000-11-02,2000-11-05 03:00:00,72,72,75,c00,0.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-05 09:00:00,78,78,81,c00,0.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-05 15:00:00,84,84,87,c00,0.13
Chennai,13.0827,80.2707,2000-11-02,2000-11-05 21:00:00,90,90,93,c00,0.99
Chennai,13.0827,80.2707,2000-11-02,2000-11-06 03:00:00,96,96,99,c00,0.01
Chennai,13.0827,80.2707,2000-11-02,2000-11-06 09:00:00,102,102,105,c00,0.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-06 15:00:00,108,108,111,c00,0.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-06 21:00:00,114,114,117,c00,0.01
Chennai,13.0827,80.2707,2000-11-02,2000-11-07 03:00:00,120,120,123,c00,0.02
Chennai,13.0827,80.2707,2000-11-02,2000-11-07 09:00:00,126,126,129,c00,0.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-07 15:00:00,132,132,135,c00,0.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-07 21:00:00,138,138,141,c00,0.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-08 03:00:00,144,144,147,c00,0.03
Chennai,13.0827,80.2707,2000-11-02,2000-11-08 09:00:00,150,150,153,c00,0.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-08 15:00:00,156,156,159,c00,0.09
Chennai,13.0827,80.2707,2000-11-02,2000-11-08 21:00:00,162,162,165,c00,0.03
Chennai,13.0827,80.2707,2000-11-02,2000-11-09 03:00:00,168,168,171,c00,0.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-09 09:00:00,174,174,177,c00,0.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-09 15:00:00,180,180,183,c00,0.02
Chennai,13.0827,80.2707,2000-11-02,2000-11-09 21:00:00,186,186,189,c00,0.03
Chennai,13.0827,80.2707,2000-11-02,2000-11-10 03:00:00,192,192,195,c00,0.1
Chennai,13.0827,80.2707,2000-11-02,2000-11-10 09:00:00,198,198,201,c00,0.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-10 15:00:00,204,204,207,c00,0.11
Chennai,13.0827,80.2707,2000-11-02,2000-11-10 21:00:00,210,210,213,c00,0.47000000000000003
Chennai,13.0827,80.2707,2000-11-02,2000-11-11 03:00:00,216,216,219,c00,0.6000000000000001
Chennai,13.0827,80.2707,2000-11-02,2000-11-11 09:00:00,222,222,225,c00,0.74
Chennai,13.0827,80.2707,2000-11-02,2000-11-11 15:00:00,228,228,231,c00,0.04
Chennai,13.0827,80.2707,2000-11-02,2000-11-11 21:00:00,234,234,237,c00,0.3
Chennai,13.0827,80.2707,2000-11-02,2000-11-02 03:00:00,0,0,3,p01,5.1000000000000005
Chennai,13.0827,80.2707,2000-11-02,2000-11-02 09:00:00,6,6,9,p01,0.4
Chennai,13.0827,80.2707,2000-11-02,2000-11-02 15:00:00,12,12,15,p01,1.3
Chennai,13.0827,80.2707,2000-11-02,2000-11-02 21:00:00,18,18,21,p01,0.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-03 03:00:00,24,24,27,p01,0.4
Chennai,13.0827,80.2707,2000-11-02,2000-11-03 09:00:00,30,30,33,p01,0.08
Chennai,13.0827,80.2707,2000-11-02,2000-11-03 15:00:00,36,36,39,p01,0.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-03 21:00:00,42,42,45,p01,1.4000000000000001
Chennai,13.0827,80.2707,2000-11-02,2000-11-04 03:00:00,48,48,51,p01,0.8300000000000001
Chennai,13.0827,80.2707,2000-11-02,2000-11-04 09:00:00,54,54,57,p01,0.1
Chennai,13.0827,80.2707,2000-11-02,2000-11-04 15:00:00,60,60,63,p01,0.7000000000000001
Chennai,13.0827,80.2707,2000-11-02,2000-11-04 21:00:00,66,66,69,p01,0.02
Chennai,13.0827,80.2707,2000-11-02,2000-11-05 03:00:00,72,72,75,p01,0.1
Chennai,13.0827,80.2707,2000-11-02,2000-11-05 09:00:00,78,78,81,p01,0.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-05 15:00:00,84,84,87,p01,0.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-05 21:00:00,90,90,93,p01,0.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-06 03:00:00,96,96,99,p01,0.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-06 09:00:00,102,102,105,p01,0.8
Chennai,13.0827,80.2707,2000-11-02,2000-11-06 15:00:00,108,108,111,p01,0.8
Chennai,13.0827,80.2707,2000-11-02,2000-11-06 21:00:00,114,114,117,p01,2.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-07 03:00:00,120,120,123,p01,1.5
Chennai,13.0827,80.2707,2000-11-02,2000-11-07 09:00:00,126,126,129,p01,0.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-07 15:00:00,132,132,135,p01,0.6000000000000001
Chennai,13.0827,80.2707,2000-11-02,2000-11-07 21:00:00,138,138,141,p01,1.3
Chennai,13.0827,80.2707,2000-11-02,2000-11-08 03:00:00,144,144,147,p01,6.2
Chennai,13.0827,80.2707,2000-11-02,2000-11-08 09:00:00,150,150,153,p01,2.95
Chennai,13.0827,80.2707,2000-11-02,2000-11-08 15:00:00,156,156,159,p01,0.1
Chennai,13.0827,80.2707,2000-11-02,2000-11-08 21:00:00,162,162,165,p01,0.0
Chennai,13.0827,80.2707,2000-11-02,2000-11-09 03:00:00,168,168,171,p01,0.6000000000000001
